source,headline,url,published_at
bbc,Death cap mushrooms and cancer lie: Nine weeks of testimony that gripped a courtroom,https://www.bbc.com/news/articles/cdx554n1x0wo,2025-07-07T05:48:41Z
bbc,Is the UK really any safer 20 years on from 7/7?,https://www.bbc.com/news/articles/c14e77je72mo,2025-07-06T23:02:18Z
bbc,King's message of unity for 7/7 attack anniversary,https://www.bbc.com/news/articles/cq53jqg2y90o,2025-07-07T05:57:04Z
bbc,Cautious optimism for Gaza ceasefire breakthrough as Netanyahu visits US,https://www.bbc.com/news/articles/cy4ypze027ro,2025-07-07T05:17:39Z
bbc,Bereavement leave to be extended to miscarriages before 24 weeks,https://www.bbc.com/news/articles/cz9k12w5j54o,2025-07-06T23:16:56Z
bbc,'Human error' - Wimbledon sorry over missed line calls,https://www.bbc.com/sport/tennis/articles/czry1j5e32ko,2025-07-06T21:32:25Z
bbc,At least 78 dead and dozens missing in Texas floods as more rain looms,https://www.bbc.com/news/articles/cddzrj323zzo,2025-07-06T23:28:39Z
bbc,Government urged to keep care plans for children with special needs,https://www.bbc.com/news/articles/cx2vn950d5go,2025-07-07T02:48:36Z
bbc,Post Office scandal victim: 'I need someone to be punished',https://www.bbc.com/news/articles/cx244zk2jppo,2025-07-06T23:06:59Z
bbc,Israel launches strikes on Houthi targets in Yemen,https://www.bbc.com/news/articles/ce9xdlxp1x7o,2025-07-07T02:15:05Z
bbc,Trump threatens extra 10% tariff on nations that side with Brics,https://www.bbc.com/news/articles/c1dnz7gw92zo,2025-07-07T04:42:30Z
bbc,"Lena Dunham on fatphobia, dating advice and her new London rom-com",https://www.bbc.com/news/articles/cd0vvgnj8rko,2025-07-06T23:12:27Z
bbc,What early warnings did flood-hit Texas receive?,https://www.bbc.com/news/articles/c0rvp24wvrqo,2025-07-07T01:46:18Z
bbc,How an al-Qaeda offshoot became one of Africa's deadliest militant groups,https://www.bbc.com/news/articles/cg4r5wylwq6o,2025-07-07T01:04:56Z
bbc,The Papers: 'PM facing fresh revolt' and 'dental deserts',https://www.bbc.com/news/articles/ckgjy88zk1lo,2025-07-07T05:13:19Z
bbc,The best photos from Black Sabbath's farewell,https://www.bbc.com/news/articles/c5y7l90rdexo,2025-07-06T19:28:10Z
bbc,"Nursery teachers to get £4,500 to work in disadvantaged areas",https://www.bbc.com/news/articles/cg5z1pp7q4do,2025-07-06T23:16:36Z
bbc,Trump calls Musk's new political party 'ridiculous',https://www.bbc.com/news/articles/cy4n09lpz41o,2025-07-07T03:17:15Z
bbc,Parents of girls killed in school crash 'still waiting for answers',https://www.bbc.com/news/articles/c89e1kynjjko,2025-07-06T16:11:46Z
bbc,How tariffs are shifting global supply chains,https://www.bbc.com/news/articles/c93l6n32ne5o,2025-07-06T23:08:24Z
bbc,BBC News app,https://www.bbc.co.uk/news/10628994,2025-04-30T14:04:28Z
bbc,Is Trump deporting record numbers of migrants?,https://www.bbc.co.uk/sounds/play/w3ct7t5l,2025-07-04T13:30:00Z
bbc,One year of Labour: What happened? (Newscast Live),https://www.bbc.co.uk/sounds/play/p0ln89mx,2025-07-04T18:08:00Z
